Unnamed: 0,id,title,author,issue,volume,venue,page,pub_date,type,publisher,editor,omid,detected_language,confidence
6204208,omid:br/062601961605 doi:10.32749/nucleodoconhecimento.com.br/educacao-fisica/propostas-de-identificacao,Propostas De Identificação Na Área Educação Física Em Relação Ao Objeto De Estudo,"Nassar, Sérgio Eduardo [omid:ra/062605820027]; Moreira, Wagner Wey [omid:ra/062605820028]",,,Revista Científica Multidisciplinar Núcleo Do Conhecimento [omid:br/0618045602 doi:10.32749/nucleodoconhecimento issn:2448-0959],89-106,2019-02-13,journal article,Revista Cientifica Multidisciplinar Nucleo Do Conhecimento [omid:ra/0660115150 crossref:18045],,omid:br/062601961605,pt,1.0
6122565,omid:br/062503286137 pmid:31666390 doi:10.1891/1541-6577.33.4.305,Remembering Our Partnerships: A Collaborative Tribute To Dr. Kathleen T. Heinrich,[omid:ar/0625013386144]; [omid:ar/0625013386143]; [omid:ar/0625013386142]; [omid:ar/0625013386145],4,33.0,Research And Theory For Nursing Practice [omid:br/062503287414 issn:1541-6577 issn:1945-7286],305-309,2019-10-30,journal article,Springer Publishing Company [omid:ra/0610116233 crossref:793],"Belcik, Kim [omid:ra/062509050706]; Pedro, Leli [omid:ra/062509050707]; Monsivais, Diane [omid:ra/062509050708 orcid:0000-0002-1377-4166]",omid:br/062503286137,de,0.959156572818756
7014122,omid:br/06510118296 doi:10.31121/tader.529194,Ölülere Dua Ve İstiğfar Niyetiyle Kur’an Okuma Meselesi,"Öztürk, Mustafa [omid:ra/06510328028]",1,3,Tefsir Araştırmaları Dergisi [omid:br/06801718892 issn:2587-0882],85-106,2019-04-30,journal article,Tefsir Arastirmalari Dergisi [omid:ra/06805316164 crossref:16067],,omid:br/06510118296,tr,0.998225748538971
1652217,omid:br/061502077081 doi:10.1007/978-3-662-59058-4_9,Erkenntnisgewinn In Der Gestaltung Mit Rapid Prototyping Ersatzsystemen Durch Modellbildung Und Parametertransformation,"Matthiesen, Sven [omid:ra/061506198260]; Grauberger, Patric [omid:ra/061506198261]; Windisch, Emily [omid:ra/061506198262]",,,Konstruktion Für Die Additive Fertigung 2018 [omid:br/069052189 isbn:9783662590584 doi:10.1007/978-3-662-59058-4 isbn:9783662590577],145-164,2019-12-01,book chapter,Springer Science And Business Media Llc [omid:ra/0610116006 crossref:297],,omid:br/061502077081,de,1.0
3224590,omid:br/061101021638 doi:10.1177/0960327120975125 pmid:33233951,Inhibition Of Osteoblast Proliferation And Migration By Exogenous And Endogenous Formaldehyde,"Teng, Xu [omid:ra/061103061060]; Wang, Pei [omid:ra/061103061061]; Yang, Tianshu [omid:ra/061103061062]; Huang, Wei [omid:ra/061103061063]; Yu, Hefeng [omid:ra/061103061064]; Li, Weishi [omid:ra/061103061065]; Chen, Zhongqiang [omid:ra/061103061066]; Fan, Dongwei [omid:ra/0617079944 orcid:0000-0002-1241-0029]",5,40.0,Human & Experimental Toxicology [omid:br/0614020630 issn:0960-3271 issn:1477-0903],882-894,2020-11-25,journal article,Sage Publications [omid:ra/0610116008 crossref:179],,omid:br/061101021638,nl,0.6832912564277649
6808277,omid:br/06340237475 doi:10.19005/ssmeti.4.0_60,高等学校芸術科音楽における創作活動の試み,"永井, 美由紀 [omid:ra/06340643580]",0,4,学校音楽教育実践論集 [omid:br/06340238080 issn:2432-7581 jid:ssmeti issn:2432-7743],60-61,2020-03-31,journal article,日本学校音楽教育実践学会 [omid:ra/06340643581],,omid:br/06340237475,ja,1.0
4616214,omid:br/06104506466 doi:10.15017/4371024,世界的貧困とグローバルな正義の基礎(1),"小園, 栄作 [omid:ra/061012454234]",,120.0,九大法学 [omid:br/06104507246],59-116,2021-03-09,journal article,九大法学会 [omid:ra/061012454235],,omid:br/06104506466,ja,1.0
8540273,omid:br/061102776228 doi:10.1088/1757-899x/560/1/012086,Nitriding Of Multilayer Steel Materials,"Plokhikh, A I [omid:ra/061107969260]; Polikevich, K B [omid:ra/061107969261]",1,560.0,IOP Conference Series: Materials Science And Engineering [omid:br/0613053775 issn:1757-899X issn:1757-8981 doi:10.1088/issn.1757-899x],012086-012086,2019-06-01,journal article,Iop Publishing [omid:ra/0610116040 crossref:266],,omid:br/061102776228,nl,0.4438199400901794
7070358,omid:br/061601719225 doi:10.3390/atmos11111207,"Assessment Of Gridded CRU TS Data For Long-Term Climatic Water Balance Monitoring Over The São Francisco Watershed, Brazil","Mutti, Pedro Rodrigues [omid:ra/0614048766 orcid:0000-0001-7607-1727]; Dubreuil, Vincent [omid:ra/0618024884 orcid:0000-0001-8383-805X]; Bezerra, Bergson G. [omid:ra/061605091123]; Arvor, Damien [omid:ra/067010056 orcid:0000-0002-3017-9625]; Oliveira, Cristiano P. De [omid:ra/0621015731 orcid:0000-0003-2871-1595]; Santos E Silva, Cláudio M. [omid:ra/061605091124]",11,11,Atmosphere [omid:br/061041681 issn:2073-4433],1207-1207,2020-11-07,journal article,Mdpi Ag [omid:ra/0610116165 crossref:1968],,omid:br/061601719225,pt,0.9992775321006776
19126,omid:br/06350300998 doi:10.11477/mf.1410213485,連載 今月の話題 Pachychoroid Neovasculopathy-新たな疾患概念とアジアにおける重要性,"玉城, 環 [omid:ra/06350807732]; 古泉, 英貴 [omid:ra/06350807733]",3,74.0,臨床眼科 [omid:br/0603971946 issn:0370-5579 issn:1882-1308],252-257,2020-03-15,journal article,株式会社医学書院 [omid:ra/06350807734],,omid:br/06350300998,ja,1.0
680009,omid:br/062503971744 doi:10.1056/nejmoa2117166,"A 24-Week, All-Oral Regimen For Rifampin-Resistant Tuberculosis","Berry, Catherine [omid:ra/062109718098 orcid:0000-0001-6363-9387]; Dodd, Matthew [omid:ra/0625011256717]; Fielding, Katherine [omid:ra/0625011256718]; Kazounis, Emil [omid:ra/0625011256719]; Liverko, Irina [omid:ra/0625011256720]; McHugh, Timothy D. [omid:ra/0625011256721 orcid:0000-0003-4658-8594]; Moodliar, Ronelle [omid:ra/0625011256722]; Moore, David A.J. [omid:ra/0625011256723]; Motta, Ilaria [omid:ra/0625011256724 orcid:0000-0002-3283-3192]; Ngubane, Nosipho [omid:ra/0625011256725]; Nyang’wa, Bern-Thomas [omid:ra/0625011256726]; Parpieva, Nargiza [omid:ra/0625011256727]; Rassool, Mohammed [omid:ra/0625011256728]; Ritmeijer, Koert [omid:ra/0625011256729]; Solodovnikova, Varvara [omid:ra/0625011256730]; Spigelman, Melvin [omid:ra/0625011256731]; Tigay, Zinaida [omid:ra/0625011256732]; Du Cros, Philipp [omid:ra/0625011256733]",25.0,387.0,New England Journal Of Medicine [omid:br/0623053017 issn:0028-4793 issn:2163-3061 issn:2163-2928 issn:0096-6762 issn:1533-4406],2331-2343,2022-12-22,journal article,Massachusetts Medical Society [omid:ra/0660115961 crossref:150],,omid:br/062503971744,mt,0.4957541823387146
8058918,omid:br/06104571656 doi:10.18975/jais.23.2_98,福祉系大学で学び福祉専門職を目指す学生に福祉住環境研究の大切さを伝える,"三宮, 基裕 [omid:ra/061012604328]",2,23.0,福祉のまちづくり研究 [omid:br/0604752411 issn:2189-891X jid:jais issn:1345-8973],98-98,2021-12-15,journal article,一般社団法人 日本福祉のまちづくり学会 [omid:ra/061012604329],,omid:br/06104571656,ja,1.0
8122871,omid:br/06450165839 doi:10.17341/gazimmfd.977127,Optimum Parametreler Yardımıyla Performansı Artırılmış KNN Algoritması Tabanlı Kalp Hastalığı Tahmini,"Takci, Hidayet [omid:ra/06450467044 orcid:0000-0002-4448-4284]",1,38.0,Gazi Üniversitesi Mühendislik-Mimarlık Fakültesi Dergisi [omid:br/066043527 issn:1300-1884 issn:1304-4915],451-460,2022-06-21,journal article,Journal Of The Faculty Of Engineering And Architecture Of Gazi University [omid:ra/0650115789 crossref:7101],,omid:br/06450165839,tr,1.0
208311,omid:br/06280208263 doi:10.11323/jjmp.41.3_96,世界で活躍する日本発のCt技術―歴史と未来―,"塚越, 伸介 [omid:ra/06280602630]; 信藤, 康孝 [omid:ra/06280602631]; 立崎, 寿 [omid:ra/06280602632]",3,41,医学物理 [omid:br/0604607258 jid:jjmp jid:jjmp2000 issn:2186-9634 issn:1345-5354],96-102,2021-09-30,journal article,公益社団法人 日本医学物理学会 [omid:ra/06280602633],,omid:br/06280208263,ja,1.0
10328383,omid:br/06501861987 doi:10.3989/redc.2019.3.1564,Opinión Pública E Innovación: Una Exploración De Las Percepciones Y Actitudes De La Sociedad Española Ante La Innovación,"Iturrate-Meras, Diana [omid:ra/06505905618 orcid:0000-0002-4941-9588]; Esquinas, Manuel Fernández [omid:ra/068058836 orcid:0000-0001-8677-9462]",3,42,Revista Española De Documentación Científica [omid:br/06501862371 issn:1988-4621 doi:10.3989/redc issn:0210-0614],238-238,2019-09-24,journal article,Editorial Csic [omid:ra/0620115968 crossref:2373],,omid:br/06501861987,es,1.0
6987788,omid:br/061703475560 doi:10.34198/ejcs.9123.116,"Effect Of Aluminum On 1,3,5,5-Tetranitrohexahydropyrimidine (DNNC) - A DFT Treatment","Türker, Lemi [omid:ra/061709301431]",,,Earthline Journal Of Chemical Sciences [omid:br/0610295684 issn:2581-9003 doi:10.34198/ejcs],1-16,2022-09-15,journal article,Earthline Publishers [omid:ra/0630115987 crossref:20098],,omid:br/061703475560,sq,0.3408274948596954
2018766,omid:br/06520237721 doi:10.24733/pd.0000002416,案件から学ぶ医療事故の対策と問題点 左後頭部脂肪腫摘出術により大後頭神経損傷を生じた例,"向井, 秀樹 [omid:ra/06520667203]",2,43.0,皮膚病診療 [omid:br/0604078240 issn:0387-7531],174-175,2021-02-01,journal article,協和企画 [omid:ra/06520667204],,omid:br/06520237721,ja,1.0
1068782,omid:br/06460203917 doi:10.18999/chufr.67.79,防災水源涵養路網と列状間伐による森林整備の事例,"近藤, 恵市 [omid:ra/06460568297]; 岩元, 研史 [omid:ra/06460568298]; 望月, 貴治 [omid:ra/06460568299]; 渡邊, 定元 [omid:ra/06460568300]; Kondo, Keiichi [omid:ra/06460568301]; Iwamoto, Kenshi [omid:ra/06460568302]; Mochizuki, Takaharu [omid:ra/06460568303]; Watanabe, Sadamoto [omid:ra/06460568304]",,67,中部森林研究 [omid:br/0604272742 issn:1342-971X],79-83,2019-05-13,journal article,中部森林学会事務局 [omid:ra/06460568305],,omid:br/06460203917,ja,1.0
5128137,omid:br/0627052270 doi:10.1093/aob/mcaa080 pmid:32333761,Lack Of Strong Selection Pressures Maintains Wide Variation In Floral Traits In A Food-Deceptive Orchid,"Jacquemyn, Hans [omid:ra/06270169349]; Brys, Rein [omid:ra/06270169350]",3,126.0,Annals Of Botany [omid:br/0624017186 issn:1095-8290 issn:0305-7364],445-453,2020-04-25,journal article,Oxford University Press (Oup) [omid:ra/0610116027 crossref:286],,omid:br/0627052270,fr,0.8560617566108704
7233424,omid:br/062301499800 doi:10.1177/2043820620929797,Self(ie)-governance: Technologies Of Intimate Surveillance In India Under COVID-19,"Datta, Ayona [omid:ra/062304416910]",2,10.0,Dialogues In Human Geography [omid:br/062301500530 issn:2043-8206 issn:2043-8214],234-237,2020-05-22,journal article,Sage Publications [omid:ra/0610116008 crossref:179],,omid:br/062301499800,fr,0.7844920754432678
3394050,omid:br/062401810362 doi:10.47268/aiwadthu.v2i1.733,Penyuluhan Hukum Penyalahgunaan Media Sosial Pada Generasi Muda,"Kalalo, Julianto Jover Jotam [omid:ra/062405490617]; Parera, Zegovia [omid:ra/062405490618]; Pieter, Salvadoris [omid:ra/062405490619]",1,2.0,AIWADTHU: Jurnal Pengabdian Hukum [omid:br/062401810668 issn:2775-6203],21-21,2022-03-31,journal article,Fakultas Hukum Universitas Pattimura [omid:ra/0640115211 crossref:26917],,omid:br/062401810362,ms,0.8798106908798218
7125516,omid:br/06102698056 doi:10.1101/562850,Alanine Metabolism inBacillus Subtilis,"Sidiq, Karzan R. [omid:ra/06107709858]; Zhao, Zhao [omid:ra/06107709859]; Daniel, Richard A. [omid:ra/06107709860]",,,,,2019-02-28,web content,Cold Spring Harbor Laboratory [omid:ra/0610116007 crossref:246],,omid:br/06102698056,fr,0.8568444848060608
6035322,omid:br/06603541737 pmid:31932770 doi:10.1038/s41593-019-0564-3,Exome Sequencing In Schizophrenia-Affected Parent–Offspring Trios Reveals Risk Conferred By Protein-Coding De Novo Mutations,"Howrigan, Daniel P [omid:ra/066087374 orcid:0000-0002-7721-4838]; Rose, Samuel A. [omid:ra/066010010450]; Samocha, Kaitlin E. [omid:ra/066010010451]; Fromer, Menachem [omid:ra/068019599 orcid:0000-0003-3749-4342]; Cerrato, Felecia [omid:ra/066010010452]; Chen, Wei J [omid:ra/061404098 orcid:0000-0001-5899-5870]; Churchhouse, Claire [omid:ra/066010010453]; Chambert, Kimberly [omid:ra/066010010454]; Chandler, Sharon D. [omid:ra/066010010455]; Daly, Mark [omid:ra/0624020596 orcid:0000-0002-0949-8752]; Dumont, Ashley [omid:ra/066010010456]; Genovese, Giulio [omid:ra/066010010457]; Hwu, Hai-Gwo [omid:ra/066010010458]; Laird, Nan [omid:ra/066010010459]; Kosmicki, Jack A. [omid:ra/066010010460]; Moran, Jennifer L. [omid:ra/066010010461]; Roe, Cheryl [omid:ra/066010010462]; Singh, Tarjinder [omid:ra/0623020010 orcid:0000-0003-0601-6815]; Wang, Shi-Heng [omid:ra/066010010463]; Faraone, Stephen V [omid:ra/0620737 orcid:0000-0002-9217-3982]; Glatt, Stephen J. [omid:ra/066010010464]; McCarroll, Steven A. [omid:ra/066010010465]; Tsuang, Ming [omid:ra/0616048575 orcid:0000-0002-0076-5340]; Neale, Benjamin M [omid:ra/0624020039 orcid:0000-0003-1513-6077]",2,23.0,Nature Neuroscience [omid:br/066064112 issn:1097-6256 issn:1546-1726],185-193,2020-01-13,journal article,Springer Science And Business Media Llc [omid:ra/0610116006 crossref:297],,omid:br/06603541737,la,0.7225724458694458
441794,omid:br/06101571524 doi:10.32488/harmoni.v18i2.392,Moderasi Beragama Masyarakat Menengah Muslim: Studi Terhadap Majlis Taklim Perempuan Di Yogyakarta,"Zakiyah, Zakiyah [omid:ra/06104658807]",2,18,Harmoni [omid:br/06101572555 issn:1412-663X issn:2502-8472],28-50,2019-12-31,journal article,Puslitbang Bimas Agama Dan Layanan Keagamaan Kementrian Agama Ri [omid:ra/06104658805 crossref:17661],,omid:br/06101571524,id,0.9941404461860656
1070061,omid:br/06520129994 doi:10.1109/gcwkshps56602.2022.10008730,A Standardized Design For Sifting In Quantum Key Distribution Software,"Amer, Omar [omid:ra/06520381364]; Garg, Vaibhav [omid:ra/06520381365]; Krawec, Walter O. [omid:ra/06520381366]",,,2022 IEEE Globecom Workshops (GC Wkshps) [omid:br/06520130468],,2022-12-04,proceedings article,Institute Of Electrical And Electronics Engineers (Ieee) [omid:ra/0610116052 crossref:263],,omid:br/06520129994,mt,0.4220708608627319
9009927,omid:br/0652073780 doi:10.2514/1.c037325,Drag Decomposition Using Partial-Pressure Fields: Ventus-3 And NASA Common Research Model,"Axten, Christopher J. [omid:ra/06520222378]; Hart, Pierce L. [omid:ra/06520222379]; Maughmer, Mark D. [omid:ra/06520222380]; Schmitz, Sven [omid:ra/06520222381]",,,Journal Of Aircraft [omid:br/061032837 issn:0021-8669 issn:1533-3868],1-13,2023-04-18,journal article,American Institute Of Aeronautics And Astronautics (Aiaa) [omid:ra/0610116088 crossref:1387],,omid:br/0652073780,de,0.6827825903892517
8038561,omid:br/060499062 doi:10.5281/zenodo.4692243,Mormidea Notulifera Stal 1860,"Barros, Lurdiana D. [omid:ra/0601729139]; Paim, Marcelo R. [omid:ra/061509344786 orcid:0000-0003-2387-933X]; Krein, Verônica [omid:ra/062108714316 orcid:0000-0001-8106-2411]; Carabajal, Victor [omid:ra/0604928 orcid:0000-0001-6794-1022]; Brandão, Marcela N. [omid:ra/0604929 orcid:0000-0002-2918-788X]; Bernardes, Paula De O. [omid:ra/0604930 orcid:0000-0001-8841-335X]; Lindner, Mariana Flores [omid:ra/0650112094 orcid:0000-0002-4879-8221]",,,,,2021-04-14,report,Zenodo [omid:ra/0601729140],,omid:br/060499062,ro,0.4071038961410522
55331,omid:br/060538573 doi:10.5281/zenodo.5043013,Dasypoda (Megadasypoda) Spinigera Kohl 1905,"Boustani, Mira [omid:ra/0601855834]; Rasmont, Pierre [omid:ra/0601855835]; Dathe, Holger H. [omid:ra/0601855836]; Ghisbain, Guillaume [omid:ra/0601855837]; Kasparek, Max [omid:ra/0601855838]; Michez, Denis [omid:ra/0601855839]; Müller, Andreas [omid:ra/0601855840]; Pauly, Alain [omid:ra/0601855841]; Risch, Stefan [omid:ra/0601855842]; Straka, Jakub [omid:ra/0601855843]; Terzo, Michael [omid:ra/0601855844]; Achter, Xavier Van [omid:ra/0601855845]; Wood, Thomas J. [omid:ra/0601855846]; Nemer, Nabil [omid:ra/0601855847]",,,,,2021-05-27,report,Zenodo [omid:ra/0601855848],,omid:br/060538573,es,0.4740373194217682
7762900,omid:br/06410313260 doi:10.18888/op.0000001429,バックナンバーのご案内,[omid:ar/064101177528],11,73,手術 [omid:br/0604013166 issn:0037-4423],1629-1629,2019-10-15,journal article,金原出版 [omid:ra/06410937985],,omid:br/06410313260,ja,1.0
3571492,omid:br/061701537444 doi:10.1021/jacs.0c05668 pmid:32657120,On-Surface Synthesis Of Non-Benzenoid Nanographenes By Oxidative Ring-Closure And Ring-Rearrangement Reactions,"Lohr, Thorsten G. [omid:ra/061704567653 orcid:0000-0001-8420-8332]; Urgel, José I. [omid:ra/061704567654]; Eimre, Kristjan [omid:ra/0619017845 orcid:0000-0002-3444-3286]; Liu, Junzhi [omid:ra/061902462 orcid:0000-0001-7146-0942]; Di Giovannantonio, Marco [omid:ra/0613029677 orcid:0000-0001-8658-9183]; Mishra, Shantanu [omid:ra/0623020762 orcid:0000-0002-2900-4203]; Berger, Reinhard [omid:ra/061704567655]; Ruffieux, Pascal [omid:ra/062202085 orcid:0000-0001-5729-5354]; Pignedoli, Carlo [omid:ra/062202086 orcid:0000-0002-8273-6390]; Fasel, Roman [omid:ra/062202087 orcid:0000-0002-1553-6487]; Feng, Xinliang [omid:ra/061802139 orcid:0000-0003-3885-2703]",31,142.0,Journal Of The American Chemical Society [omid:br/0611037230 issn:0002-7863 issn:1520-5126],13565-13572,2020-07-12,journal article,American Chemical Society (Acs) [omid:ra/0610116070 crossref:316],,omid:br/061701537444,de,0.9591889381408693
10449232,omid:br/061701414573 doi:10.3917/clini.021.0096,Quelle Place Au Symptôme Dans L’Addiction ? Entre Contrainte De La Consommation Et Contrainte De L’Abstinence,"Bernaud, Joan [omid:ra/061704159066]",1,N° 21,Cliniques [omid:br/061701415840 issn:2115-8177 issn:1968-3944],96-109,2021-04-18,journal article,Cairn [omid:ra/0610116153 crossref:2273],,omid:br/061701414573,fr,0.8898796439170837
156439,omid:br/061402128580 doi:10.31417/educitec.v8.1464,Tensões E Enfrentamentos Da Formação Dos Professores De Libras No Ensino Superior,"Corrêa, Lucinara Bastiani [omid:ra/061406563761 orcid:0000-0003-4878-8098]; Brancher, Vantoir Roberto [omid:ra/061406563762 orcid:0000-0003-2829-7320]; Ferrão, Bibianna Da Silva [omid:ra/061406563763]",jan./dez.,8,Educitec - Revista De Estudos E Pesquisas Sobre Ensino Tecnológico [omid:br/061402129457 issn:2446-774X],e146422-e146422,2022-03-04,journal article,Instituto Federal Do Amazonas [omid:ra/0670115059 crossref:16447],,omid:br/061402128580,pt,1.0
1592639,omid:br/061803902454 doi:10.1080/03067319.2023.2235282,Cu(II) And Zn(II) Metal Ions’ Sorption Utilising Halloysite Nanotubes Derivative,"Abu El-Soad, A. M. [omid:ra/0618010881236]; Cavallaro, G. [omid:ra/0618010881237]; Galhoum, A. A. [omid:ra/0618010881238]; Kovaleva, E. G. [omid:ra/0618010881239]; Lazzara, G. [omid:ra/0618010881240]; Sayyed, M. I. [omid:ra/0618010881241]",,,International Journal Of Environmental Analytical Chemistry [omid:br/067011302 issn:0306-7319 issn:1029-0397],1-18,2023-07-17,journal article,Informa Uk Limited [omid:ra/0610116005 crossref:301],,omid:br/061803902454,de,0.6515887379646301
1441005,omid:br/06270122828 doi:10.51531/korkutataturkiyat.1352164,"Osmanlı Döneminde Giyim, Tekstil, Kumaş Ve Motiflerin Tarihsel Niteliği","Özmen, Seher [omid:ra/06270355403 orcid:0000-0003-3847-4466]",,,Korkut Ata Türkiyat Araştırmaları Dergisi [omid:br/0640912205 issn:2687-5675],,2023-09-18,journal article,Korkut Ata Turkiyat Arastirmalari Dergisi [omid:ra/06402738585 crossref:28942],,omid:br/06270122828,tr,1.0
2303451,omid:br/06350261022 doi:10.20710/dohikouen.66.0_85_3,6-1-18 可給態硫黄含量が低い水田への石膏施用が水稲の生育や収量、硫黄吸収量等に及ぼす影響(6-1 水田土壌肥沃度 2020年度岡山大会),"大家, 理哉 [omid:ra/06350700482]; 綱島, 健司 [omid:ra/06350700483]; 上田, 直國 [omid:ra/06350700484]",0,66,日本土壌肥料学会講演要旨集 [omid:br/0603970499 jid:dohikouen issn:2424-0575 issn:0288-5840],85-85,2020-09-01,journal article,一般社団法人 日本土壌肥料学会 [omid:ra/06350700485],,omid:br/06350261022,ja,1.0
6431928,omid:br/061704021412 doi:10.11477/mf.1429203829,高齢者診療スピードアップ塾|効率も質も高める超・時短術・7 「転院」は15分で終わらせろ!,"増井, 伸高 [omid:ra/0617010855394]",7.0,32.0,総合診療 [omid:br/0603973204 issn:2188-8051 issn:2188-806X],892-894,2022-07-15,journal article,株式会社医学書院 [omid:ra/0617010855395],,omid:br/061704021412,ja,1.0
6184453,omid:br/062203549431 doi:10.1079/cabicompendium.118423,Phytolyma Tchuentei,Cabi [omid:ra/062209574252],,CABI Compendium,CABI Compendium [omid:br/0601595501 issn:2958-3969],,2022-01-07,journal article,Cabi Publishing [omid:ra/0610116207 crossref:242],,omid:br/062203549431,lt,0.5272586941719055
2989214,omid:br/062301791324 doi:10.35903/teanga.v10i0.81,Picturebooks: An Effective Tool To Encourage Children'S English L2 Oral Production,"Fleta, Teresa [omid:ra/062305363403]",,10,"TEANGA, The Journal Of The Irish Association For Applied Linguistics [omid:br/062301791802 issn:0332-205X issn:2565-6325]",243-261,2019-03-05,journal article,SAHkartell [omid:ra/0640115190 crossref:7509],,omid:br/062301791324,it,0.7141851782798767
