Unnamed: 0.1,Unnamed: 0,id,title,author,issue,volume,venue,page,pub_date,type,publisher,editor,omid,langdetect,langdetect_prob,langid,langid_prob,overall,winner
10822361,10822361,omid:br/06302249398 doi:10.33386/593dp.2020.5-1.327,Oportunidad De Crecimiento De La Educación Superior Virtual Pos Covid-19,"Sandoval-Santacruz, Valeria [omid:ra/06306664911 orcid:0000-0002-0233-1327]; Real-Pérez, Grether [omid:ra/061091453 orcid:0000-0003-4792-6217]",5,5-1,593 Digital Publisher CEIT [omid:br/06302249388 doi:10.33386/593dp issn:2588-0705],107-116,2020-09-07,journal article,Ceit S.A. [omid:ra/06306664870 crossref:18841],,omid:br/06302249398,es,0.9999958339724112,es,1.0,es,langid
2172862,2172862,omid:br/062303946428 doi:10.31722/ejmd.1187460,Türk Kültüründe Ağit Yakma Geleneği̇ Ve Kayseri̇’Ni̇N Ağitçi Avşar Kadinlari,"Karataş, Yasemin [omid:ra/0623011047060 orcid:0000-0001-9148-1003]",22.0,,Eurasian Journal Of Music And Dance [omid:br/062101687709 issn:2651-4818],20-36,2023-06-30,journal article,Ege Universitesi Devlet Turk Musikisi Konservatuvari Dergisi [omid:ra/0630115695 crossref:16906],,omid:br/062303946428,tr,0.999997576587775,tr,0.9999734163284302,tr,langdetect
552993,552993,omid:br/062403019728 doi:10.1515/bgsl-2020-0009,"Margit Dahm-Kruse: Versnovellen Im Kontext. Formen Der Retextualisierung In Kleinepischen Sammelhandschriften, Tübingen: Narr-Francke-Attempto 2018, 388 S. (Bibliotheca Germanica 68)","Kirchhoff, Matthias [omid:ra/062408412457]",1,142.0,Beiträge Zur Geschichte Der Deutschen Sprache Und Literatur (PBB) [omid:br/067062797 issn:1865-9373 issn:0005-8076],133-140,2020-03-01,journal article,Walter De Gruyter GmbH [omid:ra/0610116054 crossref:374],,omid:br/062403019728,de,0.9999950830556812,de,1.0,de,langid
9650019,9650019,omid:br/061902290719 doi:10.2307/j.ctvmd82x7.7,Bancada Da Bala:,"Macaulay, Fiona [omid:ra/061906743318]",,,In Spite Of You [omid:br/061902291715],56-70,2019-06-20,book chapter,Jstor [omid:ra/0610116012 crossref:1121],,omid:br/061902290719,id,0.9999964432201148,pt,0.4086162745952606,id,langdetect
8790455,8790455,omid:br/060434791 doi:10.5281/zenodo.4404251,"Zarcosia Gerstmeieri Gompel 2020, N. Sp.","Gompel, Nicolas [omid:ra/0601541892]",,,,,2020-08-26,report,Zenodo [omid:ra/0601541893],,omid:br/060434791,ro,0.6755609689978446,de,0.4895510971546173,ro,langdetect
7469599,7469599,omid:br/06401233701 doi:10.26453/otjhs.943927,COVID-19 Teşhisi Konulan Ve Tedavi Sürecinin Ardından Hastalara Bakım Veren Çocuk Sahibi Hemşirelerin Bireysel Hastalık Sürecinde Aile İçi Destek Dinamiklerinin ''Aile Değerlendirme Ölçeği '' Ile Değerlendirilmesi,"Şahi̇N Gökçe, Hicran [omid:ra/06403676261]; Özensoy Güler, Özen [omid:ra/06403676262]; Karagülleoğlu, Zeynep Yağmur [omid:ra/06403676263]; Çarhan, Ahmet [omid:ra/06403676264]",,,Online Türk Sağlık Bilimleri Dergisi [omid:br/06401234125 issn:2459-1467],,2021-07-07,journal article,Online Turk Saglik Bilimleri Dergisi [omid:ra/06403675984 crossref:10991],,omid:br/06401233701,tr,0.9999993491566022,tr,1.0,tr,langid
10319554,10319554,omid:br/061803465098 doi:10.46754/jssm.2021.08.011,THE EFFECTIVENESS OF SELECTED BIOLOGICAL CONTROL AGENTS IN CONTROLLING Ganoderma Boninense,"Alexander, Arnnyitte [omid:ra/061809262802 orcid:0000-0002-4339-5714]; Universiti Malaysia Sabah [omid:ra/061809262803]; Shyen Lo, Racheal Khai [omid:ra/061809262804]; Chong, K P [omid:ra/062010971 orcid:0000-0002-5143-7283]",6,16,Journal Of Sustainability Science And Management [omid:br/0612044099 issn:2672-7226 issn:1823-8556],128-137,2021-08-31,journal article,"Penerbit Umt, Universiti Malaysia Terengganu [omid:ra/0610116983 crossref:26030]",,omid:br/061803465098,de,0.9999970350338432,de,0.4739371538162231,de,langdetect
10100323,10100323,omid:br/061801883720 doi:10.26877/paudia.v9i2.6712,Sistematika Lieratur Review: Permainan Maze Dalam Mengembangkan Perkembangan Anak Usia Taman Kanak-Kanak,"Kuswanto, Anggil Viyantini [omid:ra/061805537182]; Suyadi, Suyadi [omid:ra/061805537183]",2,9,PAUDIA : Jurnal Penelitian Dalam Bidang Pendidikan Anak Usia Dini [omid:br/061801884645 issn:2598-4047 issn:2089-1431],51-61,2020-12-01,journal article,Universitas Pgri Semarang [omid:ra/0630115161 crossref:11411],,omid:br/061801883720,id,0.9999970312388392,id,0.975602388381958,id,langdetect
6745345,6745345,omid:br/062302075596 doi:10.28989/kacanegara.v3i1.549,Pelatihan Dan Konseling Dalam Peningkatan Sikap Tanggap Dan Mitigasi Bencana Melalui Video Tutorial Dan Simulasi Di SD Negeri 2 Gledeg Karanganom Klaten,"Arwansyah, Yanuar Bagas [omid:ra/0614035638 orcid:0000-0002-9899-428X]; Daniswari, Herwinda Putri [omid:ra/062306223997]",1,3.0,KACANEGARA Jurnal Pengabdian Pada Masyarakat [omid:br/062302076068 issn:2615-6717 issn:2657-2338],,2019-12-18,journal article,Institut Teknologi Dirgantara Adisutjipto (Idta) [omid:ra/0630115651 crossref:11528],,omid:br/062302075596,id,0.9999960705575356,id,0.9908996820449828,id,langdetect
4280393,4280393,omid:br/06290264066 doi:10.11522/pscjspe.2020s.0_425,有限要素法を用いたコイル巻線解析モデルの基礎検討,"石上, 孝 [omid:ra/06290727580]; 小林, 裕征 [omid:ra/06290727581]",0,2020S,精密工学会学術講演会講演論文集 [omid:br/0603997547 jid:pscjspe],425-426,2020-03-01,journal article,公益社団法人 精密工学会 [omid:ra/06290727582],,omid:br/06290264066,ja,0.9999996061982668,ja,1.0,ja,langid
4585675,4585675,omid:br/0653033709 doi:10.3917/comla1.202.0097,Le Mashup Et La Transtextualité Audiovisuelle Sur Internet,"Bourgatte, Michaël [omid:ra/06530101349]",4,N° 202,Communication Et Langages [omid:br/069023431 issn:1778-7459 issn:0336-1500],97-114,2019-11-20,journal article,Cairn [omid:ra/0610116153 crossref:2273],,omid:br/0653033709,fr,0.999995515901788,fr,1.0,fr,langid
9450291,9450291,omid:br/062201684681 doi:10.31692/2595-2498.v3i1.113,Investigações Sobre O Ensino De Paleontologia E Evolução No Ensino Médio,"Araújo, Maurício Dos Santos [omid:ra/0625085004 orcid:0000-0002-7728-2590]; Siqueira, Samara Silva [omid:ra/062205078839]",1,3,International Journal Education And Teaching (Pdvl) Issn 2595-2498 [omid:br/062201685322 issn:2595-2498],1-19,2020-05-31,journal article,International Journal Education And Teaching [omid:ra/0640115710 crossref:16852],,omid:br/062201684681,pt,0.999997525982784,pt,1.0,pt,langid
1318487,1318487,omid:br/0610993871 doi:10.1111/jfs.12979,Antimicrobial Effect Of Zinc Oxide Nanoparticles On Campylobacter Jejuni And Salmonella Enterica Serovar Enteritidis,"He, Yiping [omid:ra/06102911935]; Capobianco, Joseph [omid:ra/065049687 orcid:0000-0003-3651-4284]; Irwin, Peter [omid:ra/06102911936]; Reed, Sue [omid:ra/06102911937]; Lee, Joe [omid:ra/06102911938]",4,42.0,Journal Of Food Safety [omid:br/0625019974 issn:0149-6085 issn:1745-4565],,2022-04-03,journal article,Wiley [omid:ra/0610116001 crossref:311],,omid:br/0610993871,ca,0.9999942983055756,it,0.9973440766334534,ca,langdetect
7582749,7582749,omid:br/062503994212 doi:10.3390/ma16072546,Finite Element Analysis Of Different Osseocartilaginous Reconstruction Techniques In Animal Model Knees,"Apostu, Dragos [omid:ra/066018464 orcid:0000-0001-9046-9432]; Balc, Nicolae [omid:ra/0625011304097]; Benea, Horea [omid:ra/0625011304098]; Cosma, Cosmin [omid:ra/0625011304099 orcid:0000-0002-3022-4457]; Oltean-Dan, Daniel [omid:ra/0625011304100 orcid:0000-0002-8094-8963]; Popan, Alexandru [omid:ra/0625011304101]; Tomoaie, Gheorghe [omid:ra/0625011304102]; Vilau, Cristian [omid:ra/0625011304103 orcid:0000-0001-5622-0393]",7,16,Materials [omid:br/0613050242 issn:1996-1944],2546-2546,2023-03-23,journal article,Mdpi Ag [omid:ra/0610116165 crossref:1968],,omid:br/062503994212,fr,0.7142832468666601,fr,0.6451805830001831,fr,langdetect
8428726,8428726,omid:br/061801308184 pmid:33850141 doi:10.1038/s41467-021-22529-x,High-performance Large-Area quasi-2D Perovskite Light-Emitting Diodes,"Sun, Changjiu [omid:ra/0622068092 orcid:0000-0001-8106-6535]; Jiang, Yuanzhi [omid:ra/064028200 orcid:0000-0001-6580-9255]; Cui, Minghuan [omid:ra/061803811096]; Qiao, Lu [omid:ra/061803811097]; Wei, Junli [omid:ra/061803811098]; Huang, Yanmin [omid:ra/061803811099]; Zhang, Li [omid:ra/061803811100]; He, Tingwei [omid:ra/063028647 orcid:0000-0002-5728-4847]; Li, Saisai [omid:ra/061803811101]; Hsu, Hsien-Yi [omid:ra/061803811102]; Qin, Chaochao [omid:ra/061803811103]; Long, Run [omid:ra/061803811104]; Yuan, Mingjian [omid:ra/062202634 orcid:0000-0002-2790-9172]",1,12.0,Nature Communications [omid:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723],,2021-04-13,journal article,Springer Science And Business Media Llc [omid:ra/0610116006 crossref:297],,omid:br/061801308184,en,0.8571392287533942,it,0.9914464950561525,it,langid
3792632,3792632,omid:br/06102935426 doi:10.1515/9783839450659-001,Für Eine Pragmatik Der Ambiguität – Zur Einleitung,"Groß, Bernhard [omid:ra/06108316382]; Krieger, Verena [omid:ra/06108316383]; Lüthy, Michael [omid:ra/06108316384]; Meyer-Fraatz, Andrea [omid:ra/06108316385]",,,Ambige Verhältnisse [omid:br/06102936414],9-12,2021-12-31,book chapter,Walter De Gruyter GmbH [omid:ra/0610116054 crossref:374],,omid:br/06102935426,de,0.9999988807028728,de,1.0,de,langid
3757676,3757676,omid:br/061602167955 doi:10.1007/978-3-658-23391-4_20-2,Rechtsanwaltskanzleien Als Spezialisierte Public-Affairs-Akteure,"Battis, Ulrich [omid:ra/061606467039]",,,Handbuch Public Affairs [omid:br/067045697 isbn:9783658233914 doi:10.1007/978-3-658-23391-4],1-10,2020-12-10,book chapter,Springer Science And Business Media Llc [omid:ra/0610116006 crossref:297],,omid:br/061602167955,de,0.9999969829748772,de,0.9999009370803832,de,langdetect
7962132,7962132,omid:br/06404366525 doi:10.14361/9783839466346-007,Grüße Aus Trujillo,"Wolff, Stephan [omid:ra/064012421028]",,,Lettre [omid:br/06404368079 isbn:9783839466346 isbn:9783837666342],111-132,2023-01-02,book chapter,Transcript Verlag [omid:ra/0610116598 crossref:5471],,omid:br/06404366525,de,0.999995384281648,de,0.998836100101471,de,langdetect
6118286,6118286,omid:br/061701908629 doi:10.30517/cihannuma.1040300,Doğu Akdeni̇Z’De Salgin Hastaliklarla Mücadele: Klazomen (Urla) Tahaffuzhanesi̇,"Adak, Ufuk [omid:ra/061705643615]",2,7.0,Cihannüma: Tarih Ve Coğrafya Araştırmaları Dergisi [omid:br/061701908917 issn:2149-0678],131-156,2021-12-27,journal article,Cihannuma Tarih Ve Cografya Arastirmalari Dergisi [omid:ra/061705643602 crossref:11969],,omid:br/061701908629,tr,0.9999970125451092,tr,0.9993109703063964,tr,langdetect
1125331,1125331,omid:br/060416875 doi:10.5281/zenodo.4333193,Amalda Bellonarum Kilburn & Bouchet 1988,"Kantor, Yuri I. [omid:ra/0601491889]; Castelin, Magalie [omid:ra/0601491890]; Fedosov, Alexander [omid:ra/0601491891]; Bouchet, Philippe [omid:ra/0601491892]",,,,,2020-08-21,report,Zenodo [omid:ra/0601491893],,omid:br/060416875,de,0.9999961312962692,nl,0.8941311836242676,de,langdetect
9660255,9660255,omid:br/061401423822 doi:10.2478/ahp-2019-0032,Niedokrwistość Aplastyczna Związana Z Zapaleniem Wątroby,"Iavorska, Iuliia [omid:ra/061404360906]; Nowicki, Mateusz [omid:ra/061404360907]; Grzelak, Anna [omid:ra/061404360908]; Szmigielska-Kapłon, Anna [omid:ra/061404360909]",4,50,Acta Haematologica Polonica [omid:br/061401424686 issn:0001-5814 issn:2300-7117],199-203,2019-12-26,journal article,Vm Media Sp. Zo.O Vm Group Sk [omid:ra/0620115584 crossref:3595],,omid:br/061401423822,pl,0.9999970426085576,pl,1.0,pl,langid
6242499,6242499,omid:br/06420181602 doi:10.1007/s00101-023-01314-z,Hat Medizinisches Cannabis Oder Cannabiskonsum Einen Einfluss Auf Das Perioperative Anästhesiologische Management?,"Fricke, Tabea Caroline [omid:ra/06420518068]; Leffler, Andreas [omid:ra/06420518069]; Pombeiro Stein, Inês Carvalheira Arnaut [omid:ra/06420518070]",9.0,72,Die Anaesthesiologie [omid:br/0670824774 issn:2731-6858 issn:2731-6866],621-626,2023-07-13,journal article,Springer Science And Business Media Llc [omid:ra/0610116006 crossref:297],,omid:br/06420181602,de,0.999995690633264,de,1.0,de,langid
10724164,10724164,omid:br/06204443295 doi:10.22144/ctu.jvn.2021.187,Ứng Dụng Dấu Chỉ Thị Phân Tử SSR Trong Chọn Giống Lúa Mang Kiểu Gene Chống Chịu Mặn Và Phẩm Chất Ở 20 Giống/Dòng Lúa Cải Tiến,"Huỳnh, Kỳ [omid:ra/062012290477]; Huỳnh, Như Điền [omid:ra/062012290478]; Lê, Thị Hồng Thanh [omid:ra/062012290479]; Nguyễn, Văn Mạnh [omid:ra/062012290480]; Trần, In Đô [omid:ra/062012290481]; Văn, Quốc Giang [omid:ra/062012290482]",6,57.0,Can Tho University Journal Of Science [omid:br/062035998 issn:1859-2333 issn:2815-5599],203-212,2021-12-28,journal article,Can Tho University [omid:ra/0630115495 crossref:9407],,omid:br/06204443295,vi,0.9999999681518588,vi,1.0,vi,langid
8663515,8663515,omid:br/061201431936 doi:10.4000/culturemusees.3353,Les Itinéraires Culturels Du Conseil De l’Europe : Mises En Récits Du Patrimoine,"Gaillard, Marie [omid:ra/061204360770]",33,,Culture & Musées [omid:br/061201432643 issn:2111-4528 issn:1766-2923],203-214,2019-11-19,journal article,OpenEdition [omid:ra/0610116018 crossref:2399],,omid:br/061201431936,fr,0.9999942134562744,fr,1.0,fr,langid
2837031,2837031,omid:br/062603848689 doi:10.19053/01211129.v29.n54.2020.10343,Evaluación De La Resistencia A La Corrosión Del Acero AISI 316L Sometido A Deformaciones Severas Mediante La Técnica Presión Calibrada,Cristian Antonio Pedraza-Yepes [omid:ra/0626010574245 orcid:0000-0002-5951-7835]; José Luis Tristancho-Reyes [omid:ra/0626010574246 orcid:0000-0003-3550-8042]; Luis Felipe Fernández-Vega [omid:ra/0626010574247 orcid:0000-0001-6817-6166]; Oscar Fabián Higuera-Cobos [omid:ra/0626010574248 orcid:0000-0002-4836-5215]; Walter Yesid Aragón-Lozano [omid:ra/0626010574249 orcid:0000-0001-7212-1547],,,,,2019-10-01,journal article,Universidad Pedagógica Y Tecnológica De Colombia [omid:ra/0626010574250],,omid:br/062603848689,es,0.9999974478503624,es,1.0,es,langid
9096893,9096893,omid:br/062601942875 doi:10.35308/jbkan.v2i2.985,Analisis Strategi Komunikasi Pemasaran Pada PT.PT. Bank Aceh Melalui Pendekatan Teori AIDA,"Maulidasari, Cut Devi [omid:ra/062605774645]; Yusnaidi, Yusnaidi [omid:ra/062605774646]",2,2.0,Jurnal Bisnis Dan Kajian Strategi Manajemen [omid:br/062601943529 issn:2657-1544 issn:2614-2147],,2019-04-25,journal article,Universitas Teuku Umar [omid:ra/0640115250 crossref:20648],,omid:br/062601942875,id,0.9999986684305364,id,0.9549470543861388,id,langdetect
7496578,7496578,omid:br/062304001993 doi:10.1093/oso/9780192849045.003.0004,Georg Von Der Gabelentz’s Typology,"McElvenny, James [omid:ra/0623011210395]",,,The Limits Of Structuralism [omid:br/062203973896 isbn:9780192849045 isbn:0192849042 isbn:9780191944314 doi:10.1093/oso/9780192849045.001.0001],81-108,2023-03-23,book chapter,Oxford University Press (Oup) [omid:ra/0610116027 crossref:286],,omid:br/062304001993,de,0.9999965131209372,de,0.9999731779098512,de,langdetect
4639838,4639838,omid:br/06450291033 doi:10.11334/jibi.66.3_68,進行食道癌による嚥下障害に対して鹿野式声門閉鎖術を施行した 1 例,"豊田, 貴一 [omid:ra/06450750771]; 佐藤, 慎太郎 [omid:ra/06450750772]; 江崎, 伸一 [omid:ra/06450750773]; 鈴木, 元彦 [omid:ra/06450750774]; 岩﨑, 真一 [omid:ra/06450750775]; 村上, 信五 [omid:ra/06450750776]",3,66,耳鼻と臨床 [omid:br/0604043038 jid:jibi issn:2185-1034 issn:0447-7227 jid:jibi1954],68-73,2020-05-20,journal article,耳鼻と臨床会 [omid:ra/06450750777],,omid:br/06450291033,ja,0.9999997951759388,ja,1.0,ja,langid
6505803,6505803,omid:br/0604402628 doi:10.14829/jcsproc.251.0_34,雪踏みによる秋播き小麦の雪腐病物理的防除の可能性,"下田, 星児 [omid:ra/06012458913]; 寺沢, 洋平 [omid:ra/06012458914]",0,251,日本作物学会講演会要旨集 [omid:br/0604041479 jid:jcsproc],34-34,2021-03-29,journal article,日本作物学会 [omid:ra/06012458915],,omid:br/0604402628,ja,0.9999999397276552,ja,1.0,ja,langid
8835738,8835738,omid:br/06530152144 doi:10.3389/fcimb.2023.1208046,"Molecular Characterization Of Multidrug Resistant Acinetobacter Baumannii Clinical Isolates From Alexandria, Egypt","Abad, David [omid:ra/06530410325]; Alkorta, Itziar [omid:ra/06530410326]; El-Kholy, Mohammed A. [omid:ra/06530410327]; Gallego, Lucia [omid:ra/06530410328]; Hernandez, Marta [omid:ra/06530410329]; Molins-Bengoetxea, Ainhoa [omid:ra/06530410330]; Ocampo-Sosa, Alain [omid:ra/06530410331]; Shawky, Sherine M. [omid:ra/06530410332]; Sánchez-Urtaza, Sandra [omid:ra/06530410333]",,13,Frontiers In Cellular And Infection Microbiology [omid:br/062404148 issn:2235-2988],,2023-07-20,journal article,Frontiers Media Sa [omid:ra/0610116108 crossref:1965],,omid:br/06530152144,ro,0.5714267972661607,en,0.5488471388816833,ro,langdetect
3359888,3359888,omid:br/06430237588 doi:10.14945/00027791,上昇方向に列をなす2気泡挙動の実験および数値解析,"楠野, 宏明 [omid:ra/06430628323]",,,,,2020-09-11,book,静岡大学 [omid:ra/06430628324],,omid:br/06430237588,ja,0.999999665495505,ja,1.0,ja,langid
687485,687485,omid:br/06470190612 doi:10.1055/a-1917-4998,Vom Lernziel Zur Prüfung: Constructive Alignment In Der Aus- Und Weiterbildung,"Albrecht, Tobias [omid:ra/06470545209]; Neudert, Marcus [omid:ra/06170108914 orcid:0000-0002-3908-2328]; Offergeld, Christian [omid:ra/06470545210]",01,102,Laryngo-Rhino-Otologie [omid:br/065018604 doi:10.1055/s-00000036 issn:1615-0007 issn:1438-8685 issn:0935-8943],55-65,2022-12-29,journal article,Georg Thieme Verlag Kg [omid:ra/0610116056 crossref:194],,omid:br/06470190612,de,0.9999967531251406,de,1.0,de,langid
9379478,9379478,omid:br/06202640460 doi:10.1515/9783050086071-008,Zur Kritik Der Hegelschen Rechtsphilosophie Einleitung,[omid:ar/062011273977],,,"Karl Marx: Werke, Artikel, Entwürfe. März 1843 Bis August 1844 [omid:br/06202641359]",170-183,2020-12-31,book chapter,Walter De Gruyter GmbH [omid:ra/0610116054 crossref:374],,omid:br/06202640460,de,0.9999969695909928,de,1.0,de,langid
